pen,subtype,rssi,snr,ipat,seq,heap,minheap,uptime,reconn,qpeak,udpfail,backlog,dropped,host_mac,pred_attack,pred_raw,calib,calib_thr,deauth_tgt,seq_jump,ap_bssid,channel,win_pkts,win_dens,win_deauth,win_probe,win_beacon,win_auth,gw_mac,gw_flip,label,attack_type,timestamp
45917,BEACON,-67,30,0,3586,65296,42840,3225635,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,3,33.5,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:07.600354
45917,,40,40,0,0,65296,42840,3226206,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,4,125.7,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:08.171354
45917,,64,64,0,0,65296,42840,3226447,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,10,150.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:08.412354
45917,BEACON,-67,30,0,3599,65296,42840,3226967,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,3,40.5,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:08.932354
45917,,-56,41,0,815,65296,42840,3227469,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,20,311.3,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:09.434354
45917,,40,40,0,0,65296,42840,3227512,0,99,9,0,0,14:33:5C:6D:AF:58,0,1,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,8,1222.1,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:09.477354
45917,,40,40,0,0,65296,42840,3227672,0,99,9,0,0,14:33:5C:6D:AF:58,0,1,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,15,241.5,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:09.637354
45917,BEACON,-95,2,0,1960,65296,42840,3228224,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,6,59.7,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:10.189354
45917,BEACON,-94,3,0,1966,65296,42840,3228838,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,5,48.8,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:10.803354
45917,,-93,4,62257,2805,65296,42840,3229711,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,8,53.0,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:11.676354
45917,,64,64,0,0,65296,42840,3230159,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,4,129.4,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:12.124354
45917,,-56,41,986,847,65296,42840,3230699,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,23,390.5,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:12.664354
45917,,-63,34,292,1301,65296,42840,3231003,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,33,589.5,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:12.968354
45917,BEACON,-89,8,0,1550,65296,42840,3231589,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,5,184.8,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:13.554354
45917,,-56,41,141168,874,65296,42840,3232109,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,3,84.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:14.074354
45917,,40,40,0,0,65296,42840,3232637,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,11,214.8,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:14.602354
45917,BEACON,-93,4,0,2011,65296,42840,3233446,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,4,96.5,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:15.411354
45917,BEACON,-65,32,0,3675,65296,42840,3234032,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,1,77.9,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:15.997354
45917,BEACON,-88,9,0,642,65296,42840,3234445,0,99,9,0,0,14:33:5C:6D:AF:58,0,1,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,2,126.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:16.410354
