pen,subtype,rssi,snr,ipat,seq,heap,minheap,uptime,reconn,qpeak,udpfail,backlog,dropped,host_mac,pred_attack,deauth_tgt,seq_jump,ap_bssid,channel,label,attack_type,timestamp
45917,PROBE_RESP,-92,-1,0,7,69844,44280,8071869,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:51.244533
45917,PROBE_RESP,-84,7,0,1,69844,44280,8072000,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:51.375533
45917,BEACON,-84,7,0,469,69844,44280,8072208,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:51.583533
45917,MGMT_OTHER,-91,0,2438,501,69844,44280,8072490,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:51.865533
45917,BEACON,-91,0,8697,372,69844,44280,8072798,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:52.173533
45917,,-92,-1,19205,1602,69844,44280,8073022,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:52.397533
45917,,-97,-6,2630,1840,69844,44280,8073193,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:52.568533
45917,,-51,40,11383,3663,69844,44280,8073628,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:53.003533
45917,PROBE_RESP,-87,4,0,4,69844,44280,8073709,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:53.084533
45917,,-53,38,110,3678,69844,44280,8073902,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:53.277533
45917,,-92,-1,10457,1010,69844,44280,8074139,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:53.514533
45917,BEACON,-93,-2,0,3159,69796,44280,8074365,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:53.740533
45917,,-84,7,2904,68,69844,44280,8074643,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:54.018533
45917,,-88,3,11112,2288,69844,44280,8074967,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:54.342533
45917,,9,9,0,3715,69844,44280,8075259,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:54.634533
45917,,-90,1,1981,1478,69844,44280,8075445,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:54.820533
45917,BEACON,-89,2,0,3172,69844,44280,8075696,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:55.071533
45917,,-53,38,0,3746,69844,44280,8076006,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:55.381533
45917,BEACON,-54,37,4007,3754,69844,44280,8076309,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:55.684533
45917,MGMT_OTHER,-89,2,11983,3718,69844,44280,8076435,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:55.810533
