window_start,total_packets,packet_density,beacon_packets,deauth_packets,deauth_targeted,probe_packets,auth_packets,seq_jump,rssi_mean,rssi_var,snr_mean,heap,minheap,reconn,qpeak,udpfail,backlog,label,attack_type
2026-08-05T00:32:44.700000,1,10.0,0,0,0,0,0,1,-54.0,0.0,37.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:44.900000,1,10.0,0,0,0,1,0,0,-85.0,0.0,6.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:45.200000,1,10.0,1,0,0,0,0,1,-88.0,0.0,3.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:45.400000,1,10.0,0,0,0,0,0,1,-93.0,0.0,-2.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:45.600000,1,10.0,1,0,0,0,0,1,-91.0,0.0,0.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:45.900000,1,10.0,1,0,0,0,0,1,-92.0,0.0,-1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:46.200000,1,10.0,0,0,0,1,0,0,-85.0,0.0,6.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:46.300000,2,20.0,0,0,0,0,0,0,-21.0,961.0,24.5,69328.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:46.600000,1,10.0,0,0,0,0,0,1,-87.0,0.0,4.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:47,1,10.0,1,0,0,0,0,1,-92.0,0.0,-1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:47.300000,1,10.0,0,0,0,0,0,1,-87.0,0.0,4.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:47.600000,1,10.0,0,0,0,0,0,0,-54.0,0.0,37.0,69768.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:47.800000,2,20.0,1,0,0,0,0,1,-73.5,380.25,17.5,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:47.900000,1,10.0,1,0,0,0,0,0,-82.0,0.0,9.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:48.100000,1,10.0,0,0,0,0,0,1,-91.0,0.0,0.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:48.400000,1,10.0,0,0,0,1,0,1,-90.0,0.0,1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:48.700000,1,10.0,0,0,0,0,0,1,-88.0,0.0,3.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:48.900000,1,10.0,0,0,0,0,0,1,-92.0,0.0,-1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:49.100000,1,10.0,0,0,0,0,0,1,-91.0,0.0,0.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:49.200000,1,10.0,0,0,0,0,0,1,-88.0,0.0,3.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:49.400000,1,10.0,1,0,0,0,0,1,-92.0,0.0,-1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:49.800000,1,10.0,0,0,0,0,0,1,-88.0,0.0,3.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:49.900000,1,10.0,1,0,0,0,0,1,-92.0,0.0,-1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:50.100000,1,10.0,0,0,0,1,0,0,-86.0,0.0,5.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:50.200000,1,10.0,1,0,0,0,0,1,-91.0,0.0,0.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:50.400000,1,10.0,0,0,0,1,0,0,-85.0,0.0,6.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:50.700000,1,10.0,0,0,0,0,0,1,-92.0,0.0,-1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:50.900000,1,10.0,1,0,0,0,0,1,-91.0,0.0,0.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:51.200000,1,10.0,0,0,0,1,0,1,-92.0,0.0,-1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:51.300000,1,10.0,0,0,0,1,0,0,-84.0,0.0,7.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:51.500000,1,10.0,1,0,0,0,0,0,-84.0,0.0,7.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:51.800000,1,10.0,0,0,0,0,0,1,-91.0,0.0,0.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:52.100000,1,10.0,1,0,0,0,0,1,-91.0,0.0,0.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:52.300000,1,10.0,0,0,0,0,0,1,-92.0,0.0,-1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:52.500000,1,10.0,0,0,0,0,0,1,-97.0,0.0,-6.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:53,2,20.0,0,0,0,1,0,0,-69.0,324.0,22.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:53.200000,1,10.0,0,0,0,0,0,0,-53.0,0.0,38.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:53.500000,1,10.0,0,0,0,0,0,1,-92.0,0.0,-1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:53.700000,1,10.0,1,0,0,0,0,1,-93.0,0.0,-2.0,69796.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:54,1,10.0,0,0,0,0,0,1,-84.0,0.0,7.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:54.300000,1,10.0,0,0,0,0,0,1,-88.0,0.0,3.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:54.600000,1,10.0,0,0,0,0,0,0,9.0,0.0,9.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:54.800000,1,10.0,0,0,0,0,0,1,-90.0,0.0,1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:55,1,10.0,1,0,0,0,0,1,-89.0,0.0,2.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:55.300000,1,10.0,0,0,0,0,0,0,-53.0,0.0,38.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:55.600000,1,10.0,1,0,0,0,0,1,-54.0,0.0,37.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:55.800000,1,10.0,0,0,0,0,0,1,-89.0,0.0,2.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:55.900000,1,10.0,0,0,0,1,0,0,-86.0,0.0,5.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:56.100000,1,10.0,0,0,0,0,0,0,-53.0,0.0,38.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:56.300000,1,10.0,0,0,0,0,0,1,-54.0,0.0,37.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:56.600000,1,10.0,0,0,0,1,0,1,-88.0,0.0,3.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:56.900000,1,10.0,0,0,0,1,0,1,-92.0,0.0,-1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:57.100000,1,10.0,0,0,0,0,0,1,-92.0,0.0,-1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:57.500000,1,10.0,0,0,0,0,0,1,-94.0,0.0,-3.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:57.800000,1,10.0,0,0,0,0,0,1,-87.0,0.0,4.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:58.200000,1,10.0,1,0,0,0,0,0,-95.0,0.0,-4.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:58.400000,1,10.0,0,0,0,0,0,1,-95.0,0.0,-4.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:58.600000,1,10.0,0,0,0,0,0,1,-93.0,0.0,-2.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:58.900000,1,10.0,0,0,0,0,0,0,-56.0,0.0,35.0,68012.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:59.200000,1,10.0,0,0,0,0,0,1,-88.0,0.0,3.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:59.400000,1,10.0,1,0,0,0,0,0,-82.0,0.0,9.0,69864.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:59.600000,1,10.0,0,0,0,0,0,1,-54.0,0.0,37.0,69828.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:59.800000,1,10.0,0,0,0,0,0,1,-55.0,0.0,36.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:33:00,1,10.0,1,0,0,0,0,0,-81.0,0.0,10.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:33:00.200000,1,10.0,0,0,0,1,0,0,-84.0,0.0,7.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:33:00.500000,1,10.0,0,0,0,0,0,1,-90.0,0.0,1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:33:00.800000,1,10.0,0,0,0,0,0,0,-83.0,0.0,8.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:33:01.100000,1,10.0,1,0,0,0,0,1,-57.0,0.0,34.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:33:01.300000,1,10.0,1,0,0,0,0,1,-56.0,0.0,35.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:33:01.600000,1,10.0,0,0,0,0,0,1,-87.0,0.0,4.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:33:01.800000,1,10.0,0,0,0,1,0,0,-81.0,0.0,10.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:33:02.100000,1,10.0,0,0,0,1,0,1,-78.0,0.0,13.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:33:02.500000,1,10.0,0,0,0,1,0,0,-84.0,0.0,7.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:33:02.700000,1,10.0,0,0,0,0,0,1,-91.0,0.0,0.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:33:02.900000,1,10.0,0,0,0,0,0,0,12.0,0.0,12.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:33:03.200000,1,10.0,0,0,0,0,0,1,-88.0,0.0,3.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:33:03.400000,1,10.0,1,0,0,0,0,1,-83.0,0.0,8.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:33:03.700000,1,10.0,1,0,0,0,0,1,-92.0,0.0,-1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:33:04,1,10.0,1,0,0,0,0,1,-53.0,0.0,38.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:33:04.400000,1,10.0,0,0,0,0,0,1,-49.0,0.0,42.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:33:04.600000,1,10.0,0,0,0,1,0,0,-81.0,0.0,10.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
